标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
满三满二，业主诚心出售，户型方正 产证在手,伊顿公馆西区 ,城西,236,"25,257",2室2厅,93.44平米,南 西,精装,高,34,板塔结合
太乙路地铁口南北通透精装修五楼两室。,测绘院太乙路小区 ,李家村,84.5,"11,337",2室1厅,74.54平米,南 北,精装,高,6,暂无数据
太白印象城楼上 海星未来城 一室诚售,海星未来城 ,城西,39,"9,196",1室1厅,42.41平米,北,其他,中,30,塔楼
交大 兴庆路南段 学府首座 三室两厅 南北通透 精装修,学府首座 ,城东,268,"21,068",3室2厅,127.21平米,南 北,其他,中,33,板塔结合
体育场地铁口 户型方正 视野开阔 交通便利，出行方便,奥林匹克大厦 ,南稍门,160,"8,858",5室1厅,180.63平米,西南,其他,低,23,塔楼
柿园坊小区 总价低 房本在手 诚心出售,柿园坊小区西区 ,城东,43,"8,447",1室1厅,50.91平米,西,其他,高,7,板楼
安东街单位家属院 一梯两户 南北朝向 产权清晰,统计局家属院（安东街） ,李家村,95,"8,823",3室2厅,107.68平米,南,简装,高,7,板楼
通化门地铁口  西窑坊小区  环境好  位置便利,西窑坊小区 ,城东,80.9,"8,214",2室2厅,98.5平米,南,简装,高,7,板楼
二环内纯南景观房 兴庆公园 地铁 教育,东方星座 ,城东,210,"10,656",4室2厅,197.09平米,南,简装,中,30,板塔结合
西京医院 电力家属院 6层 市政暖气 有停车位,西安电力高等专科学校住宅区 ,城东,84,"9,627",2室1厅,87.26平米,南 北,简装,高,7,板楼
兴庆公园 柿园坊东区 1楼 3室 精装 有证 可贷款,柿园坊东区 ,城东,118,"12,559",3室1厅,93.96平米,南 北,其他,低,7,板楼
南稍门双地铁 户型方正 两室一厅 生活便利,中贸广场 ,南稍门,113,"13,407",2室1厅,84.29平米,南,其他,低,32,板塔结合
一室简装，低总价，交通便利，近地铁，有早市。,海联物业友谊东路小区 ,城东,39,"8,127",1室1厅,47.99平米,北,简装,高,7,板楼
文艺路地铁口，二环内  长安大学旁   323医院,学院国际 ,李家村,115,"13,697",2室1厅,83.96平米,西北,其他,低,34,塔楼
兰蒂斯城一室诚心出售 房屋产权清晰房本在手,兰蒂斯城3期 ,城东,86,"16,797",1室0厅,51.2平米,北,简装,中,33,塔楼
房产证 在手 没有抵押 随时过户,兰蒂斯城1期 ,城东,105,"12,810",2室2厅,81.97平米,东南,其他,中,33,塔楼
两室湖景房，六号线地铁口交大理工大旁边,兴庆九号 ,城东,105,"10,405",2室2厅,100.92平米,西,其他,中,24,板塔结合
电梯房，满五无增值税，业主心态稳定，诚意出售。,长线局小区 ,黄雁村,72,"10,744",2室1厅,67.02平米,东 西,简装,低,12,板塔结合
南二环人才市场 后面 祥和花园两室南北通透,祥和花園 ,黄雁村,95,"11,041",2室1厅,86.05平米,南 北,其他,低,7,板塔结合
建苑家园随时看房，业主急售，价位可谈，出行方便,建苑家园 ,黄雁村,120,"17,981",2室1厅,66.74平米,东,简装,1,15,板楼
延兴门地铁口两室的房子出售了，证在手可以按揭,兰蒂斯城2期 ,城东,130,"15,536",2室1厅,83.68平米,西北,精装,低,32,板塔结合
房子全明户型 东边隔条经九路就是兴庆公园,东关曹家巷小区 ,城东,52,"7,689",3室1厅,67.63平米,南,其他,高,7,板楼
新旅城 李家村双地铁 人车分流 花园式小区,新旅城 ,李家村,120,"14,856",2室1厅,80.78平米,北,简装,低,32,板塔结合
二环内印象城电梯房三居 单价1万左右 6楼带千亩大公园,盛龙广场太白苑 ,黄雁村,95,"10,835",2室1厅,87.68平米,东 西,简装,2,28,塔楼
延兴门地铁口 三室两卫 好户型,北沙庄园 ,城东,137,"10,113",3室1厅,135.48平米,西南,简装,低,30,塔楼
兴庆路南段 学府首座 两室两厅 采光好,学府首座 ,城东,105,"13,450",2室2厅,78.07平米,西,精装,高,32,板塔结合
东二环长乐公园地铁口电信小区 户型方正实用朝南 有证,西安电信互助路小区 ,城东,168,"12,560",3室2厅,133.76平米,西南,简装,低,26,板塔结合
交大南门 单位小区 大3室有电梯房东诚心出售,华陆经九路小区 ,城东,159,"13,124",3室2厅,121.16平米,东,其他,中,21,板楼
康复路地铁口  中间楼层  2室 94平  94 万有证,北火巷42号院 ,城东,80,"8,457",2室1厅,94.6平米,南 北,简装,中,7,板楼
城内电梯房 单位家属院 人群素质高 刚需改善都合适,省建行朱雀路家属院 ,南稍门,160,"10,017",4室2厅,159.73平米,西 北,简装,高,20,板塔结合
房子产权清晰，无增值税，房子保持好，无抵押,水文社区 ,黄雁村,92,"11,513",2室1厅,79.91平米,南 北,简装,高,7,暂无数据
交大 学府首座精装2室 诚心售满二随时可过户随时看房,学府首座 ,城东,140,"14,923",2室2厅,93.82平米,东北,其他,中,31,板塔结合
新兴新庆坊三室两厅，南北通透，采光充足,新兴新庆坊 ,城东,283.5,"24,989",3室2厅,113.45平米,东 南 北,其他,高,18,板塔结合
业主急售  价格可谈 满三 满二 随时可签,兰蒂斯城2期 ,城东,105,"13,172",2室1厅,79.72平米,南,精装,中,32,板塔结合
总价低   楼层低  交通方便    业主诚心出售,更新小区 ,城东,50,"8,875",2室1厅,56.34平米,南 北,其他,低,7,板楼
业主诚心卖房产证清晰楼层好南北通透,铁一局后村小区 ,李家村,95,"13,889",2室1厅,68.4平米,南 北,其他,中,7,暂无数据
园林社区   精装三室   诚心出售,东泰城市之光北区 ,黄雁村,400,"30,180",3室2厅,132.54平米,东 南,其他,低,33,板塔结合
体育场地铁口   长安壹栋  一室一厅  双气 采光好,长安壹栋 ,南稍门,70,"12,963",1室1厅,54平米,西,其他,3,33,塔楼
南二环内 三室三面纯南朝向大三室可按揭出售,盛龙广场太白苑 ,黄雁村,157,"12,495",3室2厅,125.66平米,东南,简装,2,28,塔楼
二环3号线地铁口  全明两居室  业主诚心出售,兰蒂斯城2期 ,城东,122,"14,580",2室2厅,83.68平米,西北,精装,中,32,板塔结合
此房满三满二，户型格局好，采光好，配套设施齐全,北火巷43号搪瓷厂家属院 ,城东,65,"7,115",3室1厅,91.36平米,南 北,其他,高,7,板楼
二环边  经典三室  业主诚心出售,盛龙广场太白苑 ,黄雁村,160,"13,098",3室2厅,122.16平米,南,简装,2,29,塔楼
文艺路地铁口 2013年小区 2室2厅1卫 户型方正,泰华世纪新城Ⅱ ,李家村,93,"12,606",2室1厅,73.78平米,西南,其他,高,31,板塔结合
望城国际公馆 1室0厅 西,望城国际公馆 ,南稍门,48.5,"14,307",1室0厅,33.9平米,西,精装,低,32,板楼
海联北区 三室一厅 南北通透 小区可停车,海联北区 ,李家村,82,"8,759",3室2厅,93.62平米,南 北,其他,高,7,板楼
四院家属院新上房源，中楼层，楼层好，采光好。,四院家属院 ,李家村,62,"9,086",2室1厅,68.24平米,南,简装,中,7,板楼
省体育场地铁口 小雁塔太古里 城市中轴线 次新房 三室,长安大街3号 ,南稍门,191.6,"18,203",3室1厅,105.26平米,南,其他,高,33,板塔结合
康复路地铁口 西京医院   金茂晓苑 2室精装有证,金茂晓苑 ,城东,144.99,"14,937",2室1厅,97.07平米,南,精装,低,28,板塔结合
南稍门地铁口小区环境优美房子南北通透业主诚心出售,中贸广场 ,南稍门,148,"16,647",2室1厅,88.91平米,南 北,其他,低,34,板塔结合
新旅城 产证在手 随时签约 诚心出售,新旅城 ,李家村,155,"18,574",2室1厅,83.45平米,西南,其他,高,33,板塔结合
中间楼层，双地铁口，精装两室，,景润花园 ,李家村,120,"12,176",2室1厅,98.56平米,东北,精装,中,18,板塔结合
业主急售、价位可谈、产权清晰、无抵押、随时签,李家村万达广场 ,李家村,68.9,"11,505",1室1厅,59.89平米,东,其他,低,29,板塔结合
二环边 交大南门 天伦三室 业主急售,天伦御城龙脉刘家庄小区 ,城东,150,"11,141",3室2厅,134.64平米,西南,其他,低,32,塔楼
新旅城 两室 无遮挡  中间楼层 可按揭,新旅城 ,李家村,148,"17,091",2室2厅,86.6平米,南,简装,低,32,塔楼
李家村，双气，交通便利、配套成熟,新旅城 ,李家村,120,"15,316",2室1厅,78.35平米,西,其他,中,32,板塔结合
新旅城花园 小区 三室   可按揭 满三满二无大税,新旅城 ,李家村,215,"16,647",3室2厅,129.16平米,南 北,其他,高,33,板塔结合
诚心出售    北火巷小区  很哇塞的两室,北火巷小区 ,城东,58,"10,586",2室1厅,54.79平米,东 西,其他,低,7,板塔结合
长安壹品 太古里旁 精装三室 户型方正 诚心出售,长安壹品 ,黄雁村,260,"20,239",3室2厅,128.47平米,南 北,其他,高,31,板塔结合
南二环 地铁口 南北通透两室 看房方便,建行家属院（城南） ,黄雁村,92,"9,402",2室2厅,97.86平米,南 北,其他,7,7,板楼
含光路邮电住宅小区 2室1厅 南 北,含光路邮电住宅小区 ,黄雁村,54,"9,600",2室1厅,56.25平米,南 北,其他,5,5,板楼
延兴门地铁口 双气有证 业主诚心出售 价格可谈,东方广场 ,城东,145,"9,481",4室1厅,152.94平米,东南,简装,高,30,板塔结合
三室二厅，一梯二户，南北通透 ， 好房急售,糖果厂家属院 ,黄雁村,130,"10,621",3室2厅,122.41平米,南 北,简装,高,7,板楼
地铁口，2室，户型方正，业主诚心出售,建苑家园 ,黄雁村,130,"20,454",2室1厅,63.56平米,南,其他,1,15,板楼
两室 客厅有窗子 户型方正 中间楼 明厨明卫 诚心出售,索罗巷小区 ,城东,50,"7,536",2室1厅,66.35平米,南 北,简装,中,7,板塔结合
经典两室一厅一厨一卫 南北通透户型 产权清晰,华陆经九路小区 ,城东,76,"10,568",3室1厅,71.92平米,南 北,其他,高,6,板楼
铁路局小区 南北户型 证在手 看房方便,西铁南郊住宅小区 ,城东,175,"27,822",2室2厅,62.9平米,南 北,简装,中,5,板楼
新旅城 李家村双地铁 人车分流 花园式小区,新旅城 ,李家村,120,"14,856",2室1厅,80.78平米,北,简装,低,32,板塔结合
东二环长乐公园地铁口电信小区 户型方正实用朝南 有证,西安电信互助路小区 ,城东,168,"12,560",3室2厅,133.76平米,西南,简装,低,26,板塔结合
兴庆路 交通大学 兰蒂斯城3期 2室全明户型 精装房子,兰蒂斯城3期 ,城东,185,"20,290",2室1厅,91.18平米,东南,精装,低,33,塔楼
测绘路友谊路5号线323医院交通便利,中行外贸家属院 ,李家村,70,"10,295",2室2厅,68平米,南 北,其他,中,6,暂无数据
精装大三室，低楼层，业主诚心出售,西窑坊小区 ,城东,143.5,"9,452",3室2厅,151.82平米,南 北,其他,低,7,板楼
南门外 小雁塔太古里旁  中贸广场标准二室户型方正,中贸广场 ,南稍门,129,"14,777",2室1厅,87.3平米,西北,精装,高,32,板塔结合
建苑家园随时看房，业主急售，价位可谈，出行方便,建苑家园 ,黄雁村,120,"17,981",2室1厅,66.74平米,东,简装,1,15,板楼
兴庆宫小区 两室 中间楼层 诚心出售,兴庆宫 ,城东,145,"16,414",2室2厅,88.34平米,西北,其他,高,33,板塔结合
军工南院 精装两室 产权清晰 诚心出售,军工南院 ,黄雁村,180,"19,857",2室1厅,90.65平米,东南,其他,高,18,板塔结合
户型方正 体育场地铁口 经典三室,长安大街3号 ,南稍门,165,"16,409",3室2厅,100.56平米,南 北,简装,低,33,板塔结合
毛坯房，业主诚心出售，满三满二，楼层好，视野佳,新旅城 ,李家村,62,"13,220",1室0厅,46.9平米,西,毛坯,中,32,板塔结合
交大旁三地铁 西南精装3室双满有证 诚心出售,兰蒂斯城3期 ,城东,268,"18,538",3室2厅,144.57平米,西南,其他,中,33,塔楼
南稍门优质家属院经典小两室总价低,红会小区 ,南稍门,42,"7,483",2室1厅,56.13平米,南 北,简装,高,6,板楼
交大 常春藤花园 2梯4户 明厨明卫 可按揭贷款,常春藤花园 ,城东,206,"19,482",2室2厅,105.74平米,西南,其他,低,33,板楼
房子产证满三满二，没有增值税，无抵押,柠檬公寓 ,黄雁村,98,"10,653",2室2厅,92平米,东,简装,中,28,塔楼
延兴门地铁口 东方广场  1室1厅 有证产权清晰 诚心卖,东方广场 ,城东,74.9,"12,122",1室1厅,61.79平米,南,精装,低,30,塔楼
户型好，交通便利，护城河外，看房方便,世贸大厦 ,城东,199,"13,626",3室2厅,146.05平米,西,其他,中,32,板塔结合
兴庆公园旁 两室 明厨明卫 双气电梯房 诚心出售,东方星座 ,城东,79,"9,292",2室2厅,85.02平米,北,其他,中,30,板塔结合
文艺路复试楼 产证在手随时签约,长征左邻右舍 ,李家村,58,"9,351",1室1厅,62.03平米,西北,其他,高,15,塔楼
新装修  南北通透  采光好 交通便利,文艺南路6号院 ,南稍门,78,"9,503",3室1厅,82.08平米,南 北,其他,中,5,板楼
南稍门地铁口两室  产证在手   业主诚心出售,骊马豪城 ,南稍门,100,"10,676",2室1厅,93.67平米,西,其他,低,22,板楼
南二环人才市场 后面 祥和花园两室南北通透,祥和花園 ,黄雁村,95,"11,041",2室1厅,86.05平米,南 北,其他,低,7,板塔结合
中联颐华苑，文昌门外，环城南路与文艺路十字,中联颐华苑 ,南稍门,230,"11,016",3室2厅,208.8平米,东北,精装,中,29,板塔结合
建东街 陕建总公司家属院 两室南北通透 有双气,建东街14号楼 ,李家村,61.5,"10,247",2室2厅,60.02平米,南 北,简装,中,6,板楼
户型方正 没有浪费面积 光线充足 双地铁,泰华世纪新城Ⅱ ,李家村,75,"13,702",1室1厅,54.74平米,北,其他,高,31,板塔结合
鲁家村十字 建筑科技大学旁 新旅城一室一厅出售,新旅城 ,李家村,90,"16,760",1室0厅,53.7平米,东 南,其他,低,32,板塔结合
兴庆路南段 学府首座 两室两厅 采光好,学府首座 ,城东,105,"13,450",2室2厅,78.07平米,西,精装,高,32,板塔结合
二环内印象城电梯房三居 单价1万左右 6楼带千亩大公园,盛龙广场太白苑 ,黄雁村,95,"10,835",2室1厅,87.68平米,东 西,简装,2,28,塔楼
文艺路  两室 采光好 证在手,新旅城 ,李家村,115,"14,021",2室1厅,82.02平米,北,其他,中,32,板塔结合
地铁口，2室，户型方正，业主诚心出售,建苑家园 ,黄雁村,130,"20,454",2室1厅,63.56平米,南,其他,1,15,板楼
新旅城花园 小区 三室   可按揭 满三满二无大税,新旅城 ,李家村,215,"16,647",3室2厅,129.16平米,南 北,其他,高,33,板塔结合
长安壹品 太古里旁 精装三室 户型方正 诚心出售,长安壹品 ,黄雁村,260,"20,239",3室2厅,128.47平米,南 北,其他,高,31,板塔结合
兰蒂斯城三期精装修户型方正，视野采光好，诚心出售。,兰蒂斯城3期 ,城东,290,"19,828",3室2厅,146.26平米,东 南,其他,低,32,塔楼
园林社区   精装三室   诚心出售,东泰城市之光北区 ,黄雁村,400,"30,180",3室2厅,132.54平米,东 南,其他,低,33,板塔结合
近地铁，双公园，小区门口有早市，楼龄新，配套齐全。,仁厚庄园 ,城东,79,"11,827",2室1厅,66.8平米,北,简装,高,32,塔楼
业主诚心卖房产证清晰楼层好南北通透,铁一局后村小区 ,李家村,95,"13,889",2室1厅,68.4平米,南 北,其他,中,7,暂无数据
二环边 交大南门 天伦三室 业主急售,天伦御城龙脉刘家庄小区 ,城东,150,"11,141",3室2厅,134.64平米,西南,其他,低,32,塔楼
新旅城 两室 无遮挡  中间楼层 可按揭,新旅城 ,李家村,148,"17,091",2室2厅,86.6平米,南,简装,低,32,塔楼
南稍门地铁口小区环境优美房子南北通透业主诚心出售,中贸广场 ,南稍门,148,"16,647",2室1厅,88.91平米,南 北,其他,低,34,板塔结合
康复路地铁口 西京医院   金茂晓苑 2室精装有证,金茂晓苑 ,城东,144.99,"14,937",2室1厅,97.07平米,南,精装,低,28,板塔结合
诚心出售    北火巷小区  很哇塞的两室,北火巷小区 ,城东,58,"10,586",2室1厅,54.79平米,东 西,其他,低,7,板塔结合
4号线5号线  建筑科技大学   新旅城,新旅城 ,李家村,143,"17,132",2室1厅,83.47平米,西,其他,低,33,板塔结合
新旅城 产证在手 随时签约 诚心出售,新旅城 ,李家村,155,"18,574",2室1厅,83.45平米,西南,其他,高,33,板塔结合
业主急售、价位可谈、产权清晰、无抵押、随时签,李家村万达广场 ,李家村,68.9,"11,505",1室1厅,59.89平米,东,其他,低,29,板塔结合
中间楼层，双地铁口，精装两室，,景润花园 ,李家村,120,"12,176",2室1厅,98.56平米,东北,精装,中,18,板塔结合
