标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
煤炭设计院，二室双气南北通透，有证可贷款，生活方便,煤炭工业西安设计研究院住宅区 ,城东,65,"7,696",2室2厅,84.46平米,南 北,简装,中,25,板塔结合
东门外 兴庆宫旁 地铁6号线 中间层 产权清晰 急售,卧龙巷小区 ,城东,64,"8,671",2室1厅,73.81平米,东,简装,中,7,板楼
二环内地铁口 小高层 低容积 高绿化 诚心出售,新兴新庆坊 ,城东,229,"19,934",3室2厅,114.88平米,南 北,精装,高,18,板塔结合
文昌门外 环城公园旁 精装两室 采光视野无遮挡。,敬业大厦 ,李家村,114,"12,547",2室2厅,90.86平米,南 东北,精装,中,29,塔楼
南门外，双卧室朝东，两卧室是落地窗。,中贸广场 ,南稍门,69,"11,868",2室1厅,58.14平米,东,简装,中,33,板塔结合
建国路 二六 南北户型 精装 步行上学 配套成熟,23号院 ,城内,66,"11,181",2室1厅,59.03平米,东 南 北,其他,高,7,平房
东门外 环城公园 电梯房 纯东2居 采光无遮挡 钥匙在手,古迹岭小区 ,城东,61,"8,321",2室1厅,73.31平米,东,简装,高,23,塔楼
三室，公摊小，户型方正，全明户型。,省药材公司家属院 ,城东,63.5,"8,320",3室1厅,76.33平米,南 北,简装,中,6,板塔结合
满三满二，采光好，产权清晰，看房方,三五三八社区 ,南稍门,49,"7,599",2室1厅,64.49平米,南 北,简装,中,5,板楼
工商局碑林家属院 南北两室 看房方便 满三满二可按揭,西安市工商行政管理局碑林分局家属院 ,南稍门,82,"8,874",3室1厅,92.41平米,南 北,简装,中,7,板塔结合
永宁门地铁口 中贸广场 2室1厅 户型方正 采光好有钥匙,中贸广场 ,南稍门,98,"12,266",2室1厅,79.9平米,东南,其他,低,34,板塔结合
铁一中，大三室，低楼层，好房出售,粮油局家属院 ,城东,89.6,"8,321",3室2厅,107.68平米,南 北,其他,中,7,板塔结合
摩登Com 1室0厅 东,摩登Com ,城东,30,"8,297",1室0厅,36.16平米,东,其他,低,8,塔楼
文艺路十字口  首付14万可买三室电梯房哦 户型好,和平花园 ,南稍门,85,"9,880",3室1厅,86.04平米,东 南 西,简装,中,22,板塔结合
